tj,pers
"дар кор ҳастанд, то монеъи як мусолиҳаи таърихӣ шаванд",در کار هستند تا مانع یک مصالحه تاریخی شوند
Ба гуфтаи сухангӯйи волии Лағмон,به گفته سخنگوی والی لغمان
ғайринизомии дигар ҳам дар пайи ин инфиҷор захмӣ шудаанд,غیرنظامی دیگر هم در پی این انفجار زخمی شده‌اند
Давлати Молӣ рӯзи,دولت مالی روز
Шомгоҳи панҷшанбе,شامگاه پنج‌شنبه
июн гузориш шуд як нафар дар ҷараёни эътирозҳо кушта шудааст,ژوئن گزارش شد یک نفر در جریان اعتراض‌ها کشته‌شده‌است
тан аз қурбониёни ин барнома ҳанӯз зинда ҳастанд,تن از قربانیان این برنامه هنوز زنده هستند
Давлати Эрон эълом кард ба хотири масоили,دولت ایران اعلام کرد به خاطر مسائل
башардӯстона,بشردوستانه
иҷоза дод ин мулоқот анҷом шавад,اجازه داد این ملاقات انجام شود
илқои ҳиси ғарқ шудан,القای حس غرق شدن
бо ҳамкории Алқоъида,با همکاری القاعده
ба як пойгоҳи низомии Урдун муттаҳам ва муҷрим шинохта шуд,به یک پایگاه نظامی اردن متهم ، و مجرم شناخته شد
Ин пойгоҳ маҳали сукунати сарбозони омрикоӣ буд,این پایگاه محل سکونت سربازان آمریکایی بود
Ӯ ҳоло озод аст ва машғули нафаргирӣ дар миёни ҷавонони урдунӣ аст,او حالا آزاد است و مشغول نفرگیری در میان جوانان اردنی است
Вазири хориҷаи Эрон рӯзи душанбе ҳамчунин ҳушдор дод,وزیر خارجه ایران روز دوشنبه همچنین هشدار داد
Оқои Луис дақоиқе баъд изофа кардааст,آقای لوئیس دقایقی بعد اضافه کرده است
Баҳори арабӣ ба нафъи Омрико тамом нашудааст,بهار عربی به نفع آمریکا تمام‌نشده‌است
Судон аз замони истиқлоли Судони Ҷанубӣ дар соли,سودان از زمان استقلال سودان جنوبی در سال
-сола пас аз интиқол ба бемористон ҷони худро аз даст дод,ساله پس از انتقال به بیمارستان جان خود را از دست داد
Шайх Ҳамад се ҳамсар ва дар маҷмӯъ ёздаҳ писару сенздаҳ духтар дорад,شیخ حمد سه همسر و در مجموع ، یازده پسر و سیزده دختر دارد
Оқои Керрӣ дар суханони имрӯзи худ гуфт,آقای کری در سخنان امروز خود گفت
Мо хостори оддисозии равобати байни ду кишвар,ما خواستار عادی‌سازی روابط بین دو کشور
Туркия ва Исроил,ترکیه و اسرائیل
Мо омодаи ин кор будем,ما آماده این کار بودیم
Хушунатҳо дар Ироқ дар соли гузашта ба болотарин ҳади худ аз соли,خشونت‌ها در عراق در سال گذشته به بالاترین حد خود از سال
мелодӣ расидааст,میلادی رسیده است
"дар ноҳияи Фархор, дар ҷануби Тоҷикистон, аст",در ناحیه فرخار در جنوب تاجیکستان است
Вай қаблан риёсати ширкати,وی قبلا ریاست شرکت
Голд Тур Транс,گولد تور ترانس
"Ин хок, ки ба номи хоки сиёҳ",این خاک که بنام خاک سیاه
ё сарзамини сиёҳ,یا سرزمین سیاه
Укройн соҳиби як чаҳорум аз хоки сиёҳи кураи замин аст,اوکراین صاحب یک چهارم از خاک سیاه کره زمین است
"Як сухангӯйи Пентогун таъйид кардааст, ки",یک سخنگوی پنتاگون تایید کرد هاست که
"нафаре, ки дар он ҷо боздошт ҳастанд, даст ба эътисоби ғизо задаанд",نفری که در آنجا بازداشت هستند دست به اعتصاب غذا زده‌اند
нафар дар ин марказ дар хоки Кубо дар эътисоб буданд,نفر در این مرکز در خاک کوبا در اعتصاب بودند
-и шомгоҳи рӯзи якшанбе то,شامگاه روز یکشنبه تا
-и бомдод идома дошт,بامداد ادامه داشت
Рӯзи чаҳоршанбе садои тирандозӣ дар шаҳри Дунетск ба гӯш мерасид,روز چهارشنبه صدای تیراندازی در شهر دونستک به گوش می‌رسید
Хонаводаи оқои Фулей дар Фейсбук навиштаанд,خانواده آقای فولی در فیس‌بوک نوشته‌اند
"Медонем, ки бисёре аз шумо ба дунболи посух ё таъйид ҳастед",می‌دانیم که بسیاری از شما به دنبال پاسخ یا تایید هستید
Хонаводаи Фулиро дар дуъоҳоятон фаромӯш накунед,خانواده فولی را در دعاهایتان فراموش نکنید
Чаҳор хохом ва як пулис дар миёни кушташудагон буданд,چهار خاخام و یک پلیس در میان کشته‌شدگان بودند
"Сухангӯи вазорати дифоъ таъкид дошта, ки боздошти ин афрод",سخنگوی وزارت دفاع تاکید داشته که بازداشت این افراد
аз Русия дархости паноҳандагии сиёсӣ кардааст,از روسیه درخواست پناهندگی سیاسی کرده است
муқаддастарин рӯзи мусулмонон,مقدس ترین روز مسلمانان
"-ро интихоб карданд, то",را انتخاب کردند تا
